candle_begin_time,涨跌幅
2021-01-31,0.0%
2021-02-28,22.35%
2021-03-31,65.6%
2021-04-30,14.22%
2021-05-31,6.49%
2021-06-30,11.01%
2021-07-31,13.16%
2021-08-31,15.12%
2021-09-30,3.79%
2021-10-31,4.67%
2021-11-30,8.76%
2021-12-31,3.52%
2022-01-31,8.58%
2022-02-28,6.17%
2022-03-31,8.82%
2022-04-30,5.09%
2022-05-31,11.31%
2022-06-30,11.42%
2022-07-31,21.1%
2022-08-31,7.46%
2022-09-30,1.57%
2022-10-31,5.76%
2022-11-30,7.23%
2022-12-31,5.5%
2023-01-31,2.17%
2023-02-28,15.35%
2023-03-31,0.66%
2023-04-30,4.37%
2023-05-31,1.16%
2023-06-30,2.67%
2023-07-31,5.58%
2023-08-31,3.71%
2023-09-30,5.7%
2023-10-31,4.94%
2023-11-30,2.52%
2023-12-31,5.96%
2024-01-31,4.61%
2024-02-29,2.17%
2024-03-31,8.7%
2024-04-30,7.97%
2024-05-31,-1.25%
2024-06-30,2.34%
2024-07-31,-0.12%
2024-08-31,9.69%
2024-09-30,-0.82%
2024-10-31,7.33%
2024-11-30,7.18%
2024-12-31,9.53%
2025-01-31,8.33%
2025-02-28,5.68%
2025-03-31,-0.52%
2025-04-30,2.01%
2025-05-31,0.33%
2025-06-30,-0.96%
2025-07-31,7.54%
2025-08-31,3.59%
2025-09-30,0.48%
