candle_begin_time,涨跌幅
2021-01-31,18.29%
2021-02-28,39.02%
2021-03-31,77.11%
2021-04-30,10.95%
2021-05-31,7.03%
2021-06-30,10.52%
2021-07-31,11.78%
2021-08-31,6.91%
2021-09-30,3.27%
2021-10-31,10.64%
2021-11-30,11.17%
2021-12-31,4.63%
2022-01-31,4.8%
2022-02-28,2.51%
2022-03-31,9.87%
2022-04-30,8.83%
2022-05-31,8.83%
2022-06-30,8.66%
2022-07-31,18.75%
2022-08-31,5.23%
2022-09-30,3.76%
2022-10-31,7.55%
2022-11-30,11.11%
2022-12-31,8.32%
2023-01-31,-11.06%
2023-02-28,15.71%
2023-03-31,-3.65%
2023-04-30,6.11%
2023-05-31,-0.31%
2023-06-30,2.51%
2023-07-31,10.79%
2023-08-31,4.9%
2023-09-30,6.19%
2023-10-31,6.39%
2023-11-30,0.47%
2023-12-31,6.78%
2024-01-31,7.16%
2024-02-29,1.24%
2024-03-31,3.95%
2024-04-30,4.61%
2024-05-31,-2.25%
2024-06-30,1.9%
2024-07-31,-6.12%
2024-08-31,4.55%
2024-09-30,-3.21%
2024-10-31,9.1%
2024-11-30,0.73%
2024-12-31,11.18%
2025-01-31,8.38%
2025-02-28,7.52%
2025-03-31,-1.94%
2025-04-30,-2.05%
2025-05-31,0.2%
2025-06-30,-1.18%
2025-07-31,7.49%
2025-08-31,4.04%
2025-09-30,0.47%
