candle_begin_time,涨跌幅
2021-01-31,17.82%
2021-02-28,24.3%
2021-03-31,17.93%
2021-04-30,6.8%
2021-05-31,0.4%
2021-06-30,10.73%
2021-07-31,6.75%
2021-08-31,5.86%
2021-09-30,-0.8%
2021-10-31,-4.16%
2021-11-30,4.23%
2021-12-31,1.32%
2022-01-31,14.02%
2022-02-28,4.53%
2022-03-31,5.25%
2022-04-30,5.55%
2022-05-31,15.5%
2022-06-30,14.33%
2022-07-31,9.16%
2022-08-31,7.26%
2022-09-30,0.5%
2022-10-31,6.62%
2022-11-30,7.67%
2022-12-31,6.06%
2023-01-31,-0.11%
2023-02-28,11.61%
2023-03-31,1.64%
2023-04-30,3.28%
2023-05-31,5.54%
2023-06-30,3.9%
2023-07-31,1.24%
2023-08-31,4.71%
2023-09-30,1.52%
2023-10-31,-0.6%
2023-11-30,-0.62%
2023-12-31,4.11%
2024-01-31,2.31%
2024-02-29,-2.59%
2024-03-31,4.71%
2024-04-30,12.74%
2024-05-31,-6.11%
2024-06-30,6.57%
2024-07-31,4.4%
2024-08-31,13.17%
2024-09-30,-2.37%
2024-10-31,6.72%
2024-11-30,2.79%
2024-12-31,7.47%
2025-01-31,8.36%
2025-02-28,6.38%
2025-03-31,4.43%
2025-04-30,0.95%
2025-05-31,0.15%
2025-06-30,-1.84%
2025-07-31,3.02%
2025-08-31,-0.14%
2025-09-30,0.64%
