candle_begin_time,涨跌幅
2021-01-31,28.14%
2021-02-28,46.32%
2021-03-31,78.44%
2021-04-30,23.93%
2021-05-31,0.52%
2021-06-30,10.3%
2021-07-31,18.58%
2021-08-31,26.0%
2021-09-30,7.73%
2021-10-31,9.13%
2021-11-30,9.56%
2021-12-31,9.25%
2022-01-31,2.02%
2022-02-28,10.64%
2022-03-31,8.83%
2022-04-30,0.1%
2022-05-31,-4.27%
2022-06-30,13.72%
2022-07-31,24.57%
2022-08-31,5.43%
2022-09-30,0.19%
2022-10-31,5.26%
2022-11-30,0.04%
2022-12-31,5.0%
2023-01-31,7.04%
2023-02-28,17.63%
2023-03-31,0.75%
2023-04-30,4.27%
2023-05-31,-3.6%
2023-06-30,0.89%
2023-07-31,3.82%
2023-08-31,1.17%
2023-09-30,8.22%
2023-10-31,4.64%
2023-11-30,3.88%
2023-12-31,8.56%
2024-01-31,5.77%
2024-02-29,2.28%
2024-03-31,10.97%
2024-04-30,0.92%
2024-05-31,3.18%
2024-06-30,-1.3%
2024-07-31,-0.3%
2024-08-31,10.42%
2024-09-30,-1.13%
2024-10-31,6.44%
2024-11-30,12.46%
2024-12-31,9.86%
2025-01-31,6.07%
2025-02-28,1.22%
2025-03-31,0.22%
2025-04-30,3.08%
2025-05-31,0.3%
2025-06-30,-1.55%
2025-07-31,7.99%
2025-08-31,4.45%
2025-09-30,0.08%
