candle_begin_time,涨跌幅
2021-01-31,87.38%
2021-02-28,119.8%
2021-03-31,265.84%
2021-04-30,33.38%
2021-05-31,-19.43%
2021-06-30,-1.72%
2021-07-31,31.3%
2021-08-31,50.8%
2021-09-30,-3.52%
2021-10-31,42.24%
2021-11-30,9.08%
2021-12-31,-1.17%
2022-01-31,-24.38%
2022-02-28,6.14%
2022-03-31,42.27%
2022-04-30,-24.49%
2022-05-31,-9.82%
2022-06-30,-10.95%
2022-07-31,91.71%
2022-08-31,-3.98%
2022-09-30,4.36%
2022-10-31,11.3%
2022-11-30,-3.28%
2022-12-31,-9.64%
2023-01-31,47.2%
2023-02-28,26.27%
2023-03-31,-4.22%
2023-04-30,13.21%
2023-05-31,-13.07%
2023-06-30,-6.83%
2023-07-31,17.83%
2023-08-31,-8.56%
2023-09-30,16.74%
2023-10-31,22.71%
2023-11-30,15.19%
2023-12-31,26.99%
2024-01-31,-1.57%
2024-02-29,35.25%
2024-03-31,44.86%
2024-04-30,-25.87%
2024-05-31,14.33%
2024-06-30,-22.06%
2024-07-31,-9.05%
2024-08-31,-6.7%
2024-09-30,9.0%
2024-10-31,2.68%
2024-11-30,38.62%
2024-12-31,-6.87%
2025-01-31,-16.22%
2025-02-28,-17.74%
2025-03-31,-16.13%
2025-04-30,-3.17%
2025-05-31,-5.13%
2025-06-30,-11.58%
2025-07-31,24.75%
2025-08-31,5.42%
2025-09-30,-0.09%
